id,symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,pattern_signals,created_at,updated_at,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Anomaly,RSI_Signal,KD_Signal,SR_Signal,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
1,AAPL,2024-09-30 09:30:00,230.155,232.3412,229.655,230.98,11787517,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.720000,2025-09-30 00:19:05.720000,,,,偏空,,,,,,,,,,,0.0,0.5,,
2,AAPL,2024-09-30 10:30:00,230.97,232.0499,230.75,231.9,4589294,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.746666,2025-09-30 00:19:05.746666,,,,偏空,,,,,,,,,,,0.0,0.5,,
3,AAPL,2024-09-30 11:30:00,232.02,232.5383,231.83,232.12,3947937,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.746666,2025-09-30 00:19:05.746666,,,,偏空,,,,,,,,,,,0.0,0.5,,
4,AAPL,2024-09-30 12:30:00,232.12,232.2,231.31,231.645,2500766,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.750000,2025-09-30 00:19:05.750000,,,,偏空,,,,,,,,,,,0.0,0.5,,
5,AAPL,2024-09-30 13:30:00,231.65,232.0,230.55,231.01,3105354,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.750000,2025-09-30 00:19:05.750000,,,,偏空,,,,,,,,,,,0.0,0.5,,
6,AAPL,2024-09-30 14:30:00,231.0,231.91,230.7764,231.22,3385830,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.750000,2025-09-30 00:19:05.750000,,,,偏空,,,,,,,,,,,0.0,0.5,,
7,AAPL,2024-09-30 15:30:00,231.205,233.0,231.11,233.0,9077998,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.753333,2025-09-30 00:19:05.753333,,,,偏空,,,,,,量能異常,,,,,0.7,0.5,,
8,AAPL,2024-10-01 09:30:00,229.55,229.62,224.66,224.96,18785859,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.753333,2025-09-30 00:19:05.753333,,,,偏空,,,,,,量能異常,,,,,0.7,0.5,,
9,AAPL,2024-10-01 10:30:00,224.98,225.5,224.52,225.475,7238550,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.753333,2025-09-30 00:19:05.753333,,,,偏空,,,,,,,,,,,0.0,0.5,,
10,AAPL,2024-10-01 11:30:00,225.47,225.94,225.05,225.313,5236262,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.756666,2025-09-30 00:19:05.756666,,,,偏空,,,,,,,,,,,0.0,0.5,,
11,AAPL,2024-10-01 12:30:00,225.3,225.395,223.74,223.93,4629057,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.756666,2025-09-30 00:19:05.756666,,,,偏空,,,,,,,,,,,0.0,0.5,,
12,AAPL,2024-10-01 13:30:00,223.93,225.64,223.84,225.46,4115947,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.760000,2025-09-30 00:19:05.760000,,,,偏空,,,,,,,,,,,0.0,0.5,,
13,AAPL,2024-10-01 14:30:00,225.44,226.1884,225.246,226.1501,4202375,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.760000,2025-09-30 00:19:05.760000,,,,偏空,,,,,,,,,,,0.0,0.5,,
14,AAPL,2024-10-01 15:30:00,226.15,226.34,225.8757,226.26,5044106,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.760000,2025-09-30 00:19:05.760000,,,,偏空,,,,,,,,,,,0.0,0.5,,
15,AAPL,2024-10-02 09:30:00,225.7,226.11,223.03,225.42,9385176,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.763333,2025-09-30 00:19:05.763333,,,,偏空,,,,,,,,,,,0.0,0.5,,
16,AAPL,2024-10-02 10:30:00,225.4,226.6,225.27,226.205,4586645,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.763333,2025-09-30 00:19:05.763333,,,,偏空,,,,,,,,,,,0.0,0.5,,
17,AAPL,2024-10-02 11:30:00,226.22,227.05,226.165,226.952,3954712,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.766666,2025-09-30 00:19:05.766666,,,,偏空,,,,,,,,,,,0.0,0.5,,
18,AAPL,2024-10-02 12:30:00,226.95,227.0394,226.59,226.9599,2173028,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.766666,2025-09-30 00:19:05.766666,,,,偏空,,,,,,,,,,,0.0,0.5,,
19,AAPL,2024-10-02 13:30:00,226.94,227.18,226.35,226.82,2418335,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.766666,2025-09-30 00:19:05.766666,,,,偏空,,,,,,,,,,,0.0,0.5,,
20,AAPL,2024-10-02 14:30:00,226.8,227.33,226.65,227.24,2105356,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.770000,2025-09-30 00:19:05.770000,,,,偏空,,,,,,,,,,,0.0,0.5,,
21,AAPL,2024-10-02 15:30:00,227.225,227.37,226.6901,226.81,2793983,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.770000,2025-09-30 00:19:05.770000,,,,偏空,,,,,,,,,,,0.0,0.5,,
22,AAPL,2024-10-03 09:30:00,225.24,226.8,224.72,224.835,6220681,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.770000,2025-09-30 00:19:05.770000,,,,偏空,,,,,,,,,,,0.0,0.5,,
23,AAPL,2024-10-03 10:30:00,224.81,225.53,224.265,224.8742,4150076,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.773333,2025-09-30 00:19:05.773333,,,,偏空,,,,,,,,,,,0.0,0.5,,
24,AAPL,2024-10-03 11:30:00,224.8884,225.37,224.83,225.0712,3280055,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.773333,2025-09-30 00:19:05.773333,,,,偏空,,,,,,,,,,,0.0,0.5,,
25,AAPL,2024-10-03 12:30:00,225.09,225.0963,223.3239,223.835,3492200,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.776666,2025-09-30 00:19:05.776666,,,,偏空,,,,,,,,,,,0.0,0.5,,
26,AAPL,2024-10-03 13:30:00,223.84,224.4099,223.7001,223.8401,1911305,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.776666,2025-09-30 00:19:05.776666,,,,偏空,,,,,,,,,,,0.0,0.5,,
27,AAPL,2024-10-03 14:30:00,223.835,224.04,223.5001,223.7,2380663,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.780000,2025-09-30 00:19:05.780000,,,,偏空,,,,,,,,,,,0.0,0.5,,
28,AAPL,2024-10-03 15:30:00,223.71,225.84,223.66,225.67,5709739,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.780000,2025-09-30 00:19:05.780000,,,,偏空,,,,,,,,,,,0.0,0.5,,
29,AAPL,2024-10-04 09:30:00,227.89,228.0,224.38,224.5105,8338473,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.780000,2025-09-30 00:19:05.780000,,,,偏空,,,,,,量能異常,,,,,0.7,0.5,,
30,AAPL,2024-10-04 10:30:00,224.49,225.54,224.14,224.56,4171900,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.780000,2025-09-30 00:19:05.780000,,,,偏空,,,,,,,,,,,0.0,0.5,,
31,AAPL,2024-10-04 11:30:00,224.53,225.57,224.325,224.95,3129678,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.783333,2025-09-30 00:19:05.783333,,,,偏空,,,,,,,,,,,0.0,0.5,,
32,AAPL,2024-10-04 12:30:00,224.9571,225.48,224.8676,225.1001,1978865,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.786666,2025-09-30 00:19:05.786666,,,,偏空,,,,,,,,,,,0.0,0.5,,
33,AAPL,2024-10-04 13:30:00,225.12,225.35,224.55,225.09,2430951,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.786666,2025-09-30 00:19:05.786666,,,,偏空,,,,,,,,,,,0.0,0.5,,
34,AAPL,2024-10-04 14:30:00,225.09,226.19,225.04,226.0901,3128943,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.790000,2025-09-30 00:19:05.790000,,,,偏空,,,,,,,,,,,0.0,0.5,,
35,AAPL,2024-10-04 15:30:00,226.095,226.98,225.93,226.78,4791908,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-30 00:19:05.790000,2025-09-30 00:19:05.790000,,,,偏空,,,,,,,,,,,0.0,0.5,,
