id,symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,created_at,updated_at,pattern_signals,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Anomaly,RSI_Signal,KD_Signal,SR_Signal,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
978,2330,2000-01-04,69.649,69.649,68.4752,69.649,200662336736,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26 00:55:20.180000,2025-07-05 23:42:05.706666,,,,,偏空,,,,,,,,,,,0.0,0.5,,
979,2330,2000-01-05,69.649,71.214,68.8663,71.214,402466805912,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26 00:55:20.193333,2025-07-05 23:42:05.710000,,,,,偏空,,,,,,,,,,,0.0,0.5,,
980,2330,2000-01-06,70.8229,71.214,69.649,69.649,197545715802,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26 00:55:20.193333,2025-07-05 23:42:05.713333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
981,2330,2000-01-07,67.3013,68.4752,66.5186,67.6925,235270344752,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26 00:55:20.196666,2025-07-05 23:42:05.713333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
982,2330,2000-01-10,69.649,70.4314,68.4752,70.0402,276171685539,,,,,,,,,,,,,69.6489,,,,,,,,,,,,,2025-06-26 00:55:20.196666,2025-07-05 23:42:05.716666,,,,,偏空,,,,,,,,,,,0.0,0.5,,
983,2330,2000-01-11,70.8229,71.6052,68.4752,68.8663,277769544650,45.4537,,,,,,,,,,,,69.4924,,,,,,,,,,,,,2025-06-26 00:55:20.196666,2025-07-05 23:42:05.720000,空頭吞沒,,,,偏空,,,,,,,,,,,0.0,0.5,,
984,2330,2000-01-12,69.2575,70.8229,68.8663,70.8229,216246806621,57.5225,,,,,,,,,,,,69.4142,,,,,,,,,,,,,2025-06-26 00:55:20.200000,2025-07-05 23:42:05.723333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
985,2330,2000-01-13,70.8229,70.8229,69.649,69.649,147490954216,49.3359,50.0,,,,,,,,,,,69.4142,,,,,,,,,,,,,2025-06-26 00:55:20.200000,2025-07-05 23:42:05.723333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
986,2330,2000-01-14,70.4314,72.3879,70.0402,71.214,288318964353,59.0484,56.7302,,,,,,,79.9993,79.9993,79.9993,79.9993,70.1185,,,,,,,,,,,,,2025-06-26 00:55:20.200000,2025-07-05 23:42:05.723333,,,,,偏空,,,,,,,,,,,0.0,0.5,,
987,2330,2000-01-17,74.3444,74.3444,73.1706,73.1706,155256940719,68.4888,63.8313,,,,,,,85.0009,81.6665,80.555,83.8894,70.7446,70.1967,,,,,,,,,,,,2025-06-26 00:55:20.203333,2025-07-05 23:42:05.726666,,,,,偏空,,,,KD超買,,,,,,,0.0,1.5,,
988,2330,2000-01-18,73.1706,73.1706,71.6052,71.9967,131648031590,58.3934,57.2544,57.1428,,,,,,70.0005,77.7778,79.6293,74.0749,71.3706,70.4315,,,,,,,,,,,2.3477,2025-06-26 00:55:20.203333,2025-07-05 23:42:05.730000,"捉腰帶線,長蠟燭",,,,偏空,,,,K下穿D,,,,,,,0.0,1.5,,
989,2330,2000-01-19,71.9967,73.1706,71.6052,71.9967,134848688061,58.3934,57.2544,57.1428,,,,,,70.0005,75.1854,78.148,69.2602,71.6054,70.5098,,,70.4967,,,,,,,,0.7827,2025-06-26 00:55:20.203333,2025-07-05 23:42:05.733333,"十字,孕線,十字孕線,風高浪大線,長腿十字,紡錘線",,,,偏空,,,,,,,,,,,0.0,0.5,,
990,2330,2000-01-20,71.9967,71.9967,70.8229,71.214,125758120596,50.62,52.3584,53.9695,,,,,,46.6639,65.6782,73.9914,49.0519,71.9184,70.6663,,,70.6071,,,,,,,,1.565,2025-06-26 00:55:20.206666,2025-07-05 23:42:05.736666,"空頭吞沒,短蠟燭",,,,偏空,,,,,,,,,,,0.0,0.5,,
991,2330,2000-01-21,71.214,72.779,71.214,72.779,113397441219,62.9479,60.2814,59.0248,,,,,,73.3286,68.2284,72.0704,60.5443,72.2314,71.1749,,,70.9412,,,,,,83.6114,,5.0865,2025-06-26 00:55:20.206666,2025-07-05 23:42:05.740000,"捉腰帶線,光頭,多頭吞沒,長蠟燭,上漲光頭光腳",,,,偏空,,,,,,,,,,,0.0,0.5,,
992,2330,2000-01-24,73.5617,74.7356,73.1706,73.5617,175113122879,67.95,63.7946,61.3817,59.9995,,,,,79.9993,72.152,72.0976,72.2608,72.3096,71.5271,,,71.3444,,,,,2.1241,136.9873,,3.5215,2025-06-26 00:55:20.206666,2025-07-05 23:42:05.746666,"十字,十字星,風高浪大線,長腿十字,紡錘線",,,,偏空,,,,K上穿D,,,,CCI超買,,,1.0,1.4,,
