symbol,datetime,open_price,high_price,low_price,close_price,volume,rsi_5,rsi_7,rsi_10,rsi_14,rsi_21,dif,macd,macd_histogram,rsv,k_value,d_value,j_value,ma5,ma10,ma20,ma60,ema12,ema26,bb_upper,bb_middle,bb_lower,atr,cci,willr,mom,MA_Cross,BB_Signal,MACD_Cross,Trend,MACD_Div,Return,ZScore,Anomaly,RSI_Signal,KD_Signal,SR_Signal,vol_ma,Volume_Anomaly,EMA_Cross,CCI_Signal,WILLR_Signal,MOM_Signal,Buy_Signals,Sell_Signals,Trade_Signal,Signal_Strength
2317,1993-01-05,0.7308,0.7446,0.7262,0.7308,33478780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偏空,,,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-06,0.7293,0.7293,0.7124,0.7185,46846584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偏空,,-0.016830870279146093,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-07,0.7185,0.7293,0.7124,0.7154,44447315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偏空,,-0.0043145441892832315,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-08,0.7247,0.7247,0.6878,0.694,43699448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,偏空,,-0.029913335197092605,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-11,0.6924,0.7093,0.6924,0.6986,14068903,,,,,,,,,,,,,0.7115,,,,,,,,,,,,,,,,偏空,,0.006628242074927959,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-12,0.6955,0.7154,0.6955,0.7154,20191482,36.7698,,,,,,,,,,,,0.7084,,,,,,,,,,,,,,,,偏空,,0.024048096192384794,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-13,0.7139,0.7293,0.7062,0.7293,22679594,51.3066,,,,,,,,,,,,0.7105,,,,,,,,,,,,,,,,偏空,,0.019429689684092644,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-14,0.7354,0.7492,0.7293,0.7477,49678863,64.7256,59.337,,,,,,,,,,,0.717,,,,,,,,,,,,,,,,偏空,,0.02522967228849593,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-15,0.7523,0.7584,0.7308,0.7369,45700098,53.8396,52.0854,,,,,,,69.5467,69.5467,69.5467,69.5467,0.7256,,,,,,,,,,,,,,,,偏空,,-0.014444295840577825,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-18,0.7339,0.7369,0.7293,0.7308,35367661,48.1251,48.2035,,,,,,,60.9065,66.6667,68.5867,62.8266,0.732,0.7217,,,,,,,,,,,,,,,偏空,,-0.008277921020491186,-0.1594982285829672,,,K下穿D,,,,,,,,0.0,1.5,,
2317,1993-01-19,0.7308,0.7492,0.7308,0.7369,38661738,54.2014,52.3469,52.6872,,,,,,69.5467,67.6267,68.2667,66.3467,0.7363,0.7224,,,,,,,,,,,0.0061,,,,偏空,,0.008347016967706677,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-20,0.7369,0.7369,0.7369,0.7369,0,54.2014,52.3469,52.6872,,,,,,69.5467,68.2667,68.2667,68.2667,0.7378,0.7242,,,0.7243,,,,,,,,0.0184,,,,偏空,,0.0,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-21,0.7369,0.7369,0.7369,0.7369,0,54.2014,52.3469,52.6872,,,,,,67.4242,67.9859,68.1731,67.6115,0.7357,0.7263,,,0.7262,,,,,,,,0.0215,,,,偏空,,0.0,-0.1594982285829672,,,K下穿D,,,,,,,,0.0,1.5,,
2317,1993-01-22,0.7369,0.7369,0.7369,0.7369,0,54.2014,52.3469,52.6872,,,,,,65.8188,67.2635,67.8699,66.0507,0.7357,0.7306,,,0.7279,,,,,,55.158,,0.0429,,,,偏空,,0.0,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-25,0.7369,0.7369,0.7369,0.7369,0,54.2014,52.3469,52.6872,52.6872,,,,,58.8123,64.4464,66.7287,59.8818,0.7369,0.7345,,,0.7292,,,,,0.0147,53.2133,,0.0383,,,,偏空,,0.0,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-26,0.7369,0.7369,0.7369,0.7369,0,54.2014,52.3469,52.6872,52.6872,,,,,26.1168,51.6699,61.7091,31.5914,0.7369,0.7366,,,0.7304,,,,,0.0136,47.2652,,0.0215,,,,偏空,,0.0,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-27,0.74,0.7508,0.7369,0.7369,87604980,54.2014,52.3469,52.6872,52.6872,,,,,26.1168,43.1522,55.5235,18.4097,0.7369,0.7374,,,0.7314,,,,,0.0137,65.1326,,0.0076,,,,偏空,,0.0,-0.1594982285829672,,,,,,,,,,,0.0,0.5,,
2317,1993-01-28,0.7446,0.7492,0.7369,0.74,35901758,64.3271,57.4373,55.243,54.248,,,,,49.7674,45.3573,52.1348,31.8024,0.7375,0.7366,,,0.7327,,,,,0.0136,67.0368,,-0.0077,,,,偏空,,0.00420681232188902,-0.1594982285829672,,,,,,,,,,動量轉負,0.0,1.1,,
2317,1993-01-29,0.7293,0.7385,0.7216,0.7354,32853496,45.6192,48.4732,50.7252,51.5315,,,,,47.2603,45.9916,50.087,37.8008,0.7372,0.7365,,,0.7331,,,,,0.0139,-30.1464,,-0.0015,,,,偏空,,-0.006216216216216153,-0.1594982285829672,,,,,,,,CCI下穿零軸,,,0.0,1.4,,
2317,1993-02-01,0.7569,0.7646,0.7446,0.76,83501550,81.5289,73.8937,66.8394,62.3806,,,,,89.3023,60.4285,53.5342,74.2172,0.7418,0.7394,0.7306,,0.7373,,0.7608,0.7306,0.7004,0.015,247.8039,-5.9896,0.0292,,,,偏多,,0.03345118302964356,0.1662152269861679,,,K上穿D,接近壓力位,31734112.5,量能異常,,CCI上穿零軸,WILLR超買,動量轉正,3.7,0.8,買入,多頭3.7分
2317,1993-02-02,0.76,0.7661,0.7492,0.7661,72765543,84.6672,77.1542,69.5803,64.5025,,,,,100.0,73.619,60.2291,100.3988,0.7477,0.7423,0.7323,,0.7417,,0.7663,0.7323,0.6984,0.0151,232.5986,0.0,0.0292,,,,偏多,,0.00802631578947377,0.22944831479682198,,,,接近壓力位,33698450.65,量能異常,,CCI超買,WILLR超買,,1.2,1.7000000000000002,,
2317,1993-02-03,0.7677,0.7907,0.7646,0.783,160905793,90.3469,83.7246,75.7503,69.6157,65.4621,,,,88.8567,78.6983,66.3855,103.3237,0.7569,0.7469,0.7355,,0.7481,,0.7754,0.7355,0.6957,0.0159,255.0191,-7.483,0.0461,,突破上軌,,偏多,,0.022059783318104653,0.5358374699748191,,接近超買,,接近壓力位,39401411.1,量能異常,,CCI超買,WILLR超買,,1.2,3.0999999999999996,賣出,空頭3.1分
2317,1993-02-04,0.783,0.783,0.7677,0.7677,71910466,63.6604,64.2177,62.9139,61.0429,59.7733,,,,66.7149,74.7038,69.1583,85.7949,0.7624,0.75,0.7382,,0.7511,,0.7792,0.7382,0.6971,0.0159,146.5926,-22.3518,0.0308,,,,偏多,,-0.019540229885057436,0.41588615659129324,,,,接近壓力位,40774568.65,量能異常,,CCI超買,,,1.2,0.9,,
2317,1993-02-05,0.783,0.7984,0.7753,0.7907,65732003,76.6311,74.5976,71.0952,67.5184,64.6256,,,,89.974,79.7939,72.7035,93.9746,0.7735,0.7554,0.743,,0.7572,,0.7849,0.743,0.7011,0.0169,165.0206,-7.2642,0.0538,,突破上軌,,偏多,,0.029959619643089574,0.887578513358231,,接近超買,,接近壓力位,41876196.4,量能異常,,CCI超買,WILLR超買,,1.2,3.0999999999999996,賣出,空頭3.1分
